Ex's & Oh's,Elle King,,10,,,,14,,,,,,,,,,,,,,6,,,8,2,,,15,,,,,5,,,,,3,,,,,,,,,,,,,4,,,19,,,,,,,,,,,,,,,,,18,,,,,,,,,,2,,,,25,21,10,10,3,,,,5,,14.5,,15,14,,,,15.5,,13.5,,,14.5,,,14.5,,14,,14.5,,14,,,16,,,
Express Yourself,Madonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye of the Tiger,Survivor,,,,,,13,,,,,,,,18,,,,,,,,,,,,,,25,,,9,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,25,,25,,,,,,,6,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,14.5,,14.5,,,,13.5,,13.5,,,17,,,,15
Fairytale Of New York (feat. Kirsty MacColl),The Pogues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,13,,,,,,,,,,,,,,,,
Faith,George Michael,,,,,,,,,,,,,,27,,,,,,,,,,15,,,,,,,,,,,8,,,14,,,,,,,,,,19,,,,,,6,,,,,7,,7,,,,,,,,,15,,,,,,8,,,,27,,10,,19,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
Fast Car,Tracy Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feliz Navidad,José Feliciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,14.5,13,,,,,,,,,,,,,,,,
Float On,Modest Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Flowers,Miley Cyrus,19,,18,,,23,15,13,,,21,,,,,18,,,,23,,,,,,,,,,,,,,,,10,5,15,,12,16,,,4,,,23,5,,,,,,,4,,,,,6,10,8,,,,,,,,,,,,,,12,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flowers Survive My Man,"Gloria Gaynor, Miley Cyrus, Bruno Mars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folsom Prison Blues,Johnny Cash,,,,,,,24,,2,,9,2,,20,,,,2,,2,,4,,,,,,,,,8,6,16,6,,,,8,14,,10,,19,,1,,,,7,,,,,,5,,,,2,14,,13,,,,,4,1,5,,,,11,14,,,,3,14,,13,4,14,10,6,21,,5,4,11,,,9,,,27,,14,,,15.5,14,,14.5,,,15,14.5,,,,,,,,,17,16,,,
Freedom! '90 (Edit),George Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday I'm In Love,The Cure,,,,,,,,,,24,,5,,11,,3,,,,,,,14,,,,,,,,,,,,,7,,,,20,,3,,,,,12,,21,,,,,,,,,,,,,1,,,,,,22,6,2,,,,8,28,,,4,9,,22,,,,,,,,,,,,,,6,,,,14.5,,,,13.5,14.5,13,,,,14.5,,,13.5,14.5,,,,,,,14,
Fuck Her Gently,Tenacious D,9,,27,22,,21,,19,,16,,,,24,,,,23,,,,,7,,,14,17,,17,,,,,,,,,,,23,,14,,,,21,,,,,20,,,,,,14,,,,,,,,11,,,,,,,,,7,14,,,,21,,,,25,,,,,16,,,,,,14.5,7,14,14,,,,,,13.5,,,,,,,,,13.5,,,,,17,,,14,
Fuck You,Cee Lo Green,,,,4,,,,,,4,,,,,,5,,,,,,,,,,,,14,19,,,,15,,,4,,22,,17,,,,,18,6,,,,13,1,,16,,,,,,16,10,,,25,,,,23,,,,9,25,,,24,,,2,24,9,19,,,26,14,24,,15,18,22,13.5,,7,,,,14,14,14.5,,15.5,14,,,,14.5,15,14.5,14.5,,,,14.5,,14,,,,13,,15
